country,div,code,year,trimstr,dts,bsn,pop,pscore,cum_pscore,cum_avg_pscore
Brazil,Espirito Santo,BR-ES,2020,"Apr-Jun
2020",7787.285714285715,6375.462881373821,4137531.3274909128,1.2214463262011286,1.082404060971565,1.0788273392191254
Brazil,Espirito Santo,BR-ES,2020,"Jul-Sep
2020",7761.428571428572,6445.243568653263,4137531.3274909128,1.2042102813889974,1.1605274726367114,1.1538413027742105
Brazil,Espirito Santo,BR-ES,2020,"Oct-Dec
2020",7559.857142857143,6073.890242825893,4137531.3274909128,1.2446482963346897,1.1638617061506025,1.1591196597961555
Brazil,Espirito Santo,BR-ES,2021,"Jan-Mar
2021",8640.857142857143,6071.923975751952,4175821.989127654,1.4230838820387326,1.2068522818042373,1.203136630825822
Brazil,Espirito Santo,BR-ES,2021,"Apr-Jun
2021",9934.857142857143,6467.85222280663,4175821.989127654,1.5360365080428595,1.2808134900001038,1.27689629171931
Brazil,Espirito Santo,BR-ES,2021,"Jul-Sep
2021",7206.714285714286,6600.806760102687,4175821.989127654,1.091792950109355,1.2620902601084063,1.2599087591699853
Brazil,Espirito Santo,BR-ES,2021,"Oct-Dec
2021",4961.857142857143,4695.165642975244,4175821.989127654,1.0568012973686913,1.239363644362517,1.2347228580254903
Brazil,Goias,BR-GO,2020,"Jan-Mar
2020",9664.857142857143,9493.67053052256,7015288.19477088,1.0180316571745576,1.0157364094564758,1.015750940149264
Brazil,Goias,BR-GO,2020,"Apr-Jun
2020",10149.714285714286,9811.239500411499,7015288.19477088,1.0344986772862481,1.0174025490543022,1.0171119249143217
Brazil,Goias,BR-GO,2020,"Jul-Sep
2020",14993.57142857143,10093.602290796756,7015288.19477088,1.4854529628378974,1.1433628552392197,1.1384897107411396
Brazil,Goias,BR-GO,2020,"Oct-Dec
2020",11713.142857142857,9912.139793700215,7015288.19477088,1.1816966972749205,1.1922656339251978,1.1871090803706656
Brazil,Goias,BR-GO,2021,"Jan-Mar
2021",16047.285714285714,9672.096185591157,7090682.771899236,1.6591321474027407,1.2219850217979045,1.2181171559852506
Brazil,Goias,BR-GO,2021,"Apr-Jun
2021",16588.857142857145,10528.332917856265,7090682.771899236,1.5756394931928974,1.3192194177647032,1.3124109522041199
Brazil,Goias,BR-GO,2021,"Jul-Sep
2021",14940.142857142857,10293.137232806153,7090682.771899236,1.4514664012761656,1.3475986661355783,1.3404649819462824
Brazil,Goias,BR-GO,2021,"Oct-Dec
2021",9978,9546.72875988814,7090682.771899236,1.045174766242852,1.322727217464387,1.3163598814667403
Brazil,Maranhao,BR-MA,2020,"Jan-Mar
2020",9042.142857142857,8757.319973889467,7120114.506524686,1.0325239781237419,1.021576520312181,1.0212313146659322
Brazil,Maranhao,BR-MA,2020,"Apr-Jun
2020",14147.428571428572,9183.511442618843,7120114.506524686,1.540524957128401,1.2100750663516997,1.2029561296357503
Brazil,Maranhao,BR-MA,2020,"Jul-Sep
2020",10242.857142857143,8597.613317155112,7120114.506524686,1.19136052820836,1.2752226491024548,1.2685835878514504
Brazil,Maranhao,BR-MA,2020,"Oct-Dec
2020",8980.857142857143,8383.061776072263,7120114.506524686,1.0713099083310067,1.2276915400656179,1.2207115631310466
Brazil,Maranhao,BR-MA,2021,"Jan-Mar
2021",11504.571428571428,8792.878317155884,7154817.165235923,1.3083965242786004,1.2159230644478465,1.2092559186804737
Brazil,Maranhao,BR-MA,2021,"Apr-Jun
2021",12944.142857142857,9323.912893851353,7154817.165235923,1.388273679141604,1.2542403296706905,1.2462444657001248
Brazil,Maranhao,BR-MA,2021,"Jul-Sep
2021",9576.142857142857,8691.741623808035,7154817.165235923,1.1017519010128314,1.2479645199480307,1.2407591120899972
Brazil,Maranhao,BR-MA,2021,"Oct-Dec
2021",8173.142857142857,7868.512716390496,7154817.165235923,1.0387150852686304,1.2224788983261192,1.2146446260161823
Brazil,Mato Grosso,BR-MT,2020,"Jan-Mar
2020",4725.571428571428,4542.294190955014,3454085.9263860835,1.0403490460792635,1.033002355346967,1.032555749497543
Brazil,Mato Grosso,BR-MT,2020,"Apr-Jun
2020",5289.142857142857,4517.407468194854,3454085.9263860835,1.170835904084691,1.0547123222842127,1.05256623026763
Brazil,Mato Grosso,BR-MT,2020,"Jul-Sep
2020",7574.428571428572,4847.965546623604,3454085.9263860835,1.5623932345608005,1.2397053924024841,1.2286914237503237
Brazil,Mato Grosso,BR-MT,2020,"Oct-Dec
2020",5815.428571428572,4660.432639444018,3454085.9263860835,1.2478301954649307,1.2687999384606778,1.25950850635778
Brazil,Mato Grosso,BR-MT,2021,"Jan-Mar
2021",7848.428571428572,4645.472542819006,3488118.5597684365,1.689479057100598,1.295748792776584,1.287676977537216
Brazil,Mato Grosso,BR-MT,2021,"Apr-Jun
2021",8905.57142857143,4973.402927784727,3488118.5597684365,1.7906394390084508,1.4142215679332943,1.4015651217744671
Brazil,Mato Grosso,BR-MT,2021,"Jul-Sep
2021",6666.142857142857,4961.150080411027,3488118.5597684365,1.3436688568370365,1.4214612193688432,1.410261823460827
Brazil,Mato Grosso,BR-MT,2021,"Oct-Dec
2021",4222.285714285714,4185.516378725011,3488118.5597684365,1.0087848982619207,1.3800194744358307,1.3686654921654535
Brazil,Mato Grosso do Sul,BR-MS,2020,"Jan-Mar
2020",4072.2857142857147,3917.762778942052,2799908.284859093,1.0394416262705395,1.0243727757680494,1.0238574894908958
Brazil,Mato Grosso do Sul,BR-MS,2020,"Apr-Jun
2020",4011.4285714285716,4000.6786077730053,2799908.284859093,1.0026870350531731,1.025267278226214,1.0243301425262723
Brazil,Mato Grosso do Sul,BR-MS,2020,"Jul-Sep
2020",5644.571428571428,4474.787205637393,2799908.284859093,1.2614167264669764,1.0744756810391445,1.0695338059480062
Brazil,Mato Grosso do Sul,BR-MS,2020,"Oct-Dec
2020",5126.285714285714,4037.186403311848,2799908.284859093,1.2697669124419022,1.1350826268694756,1.1296937381390553
Brazil,Mato Grosso do Sul,BR-MS,2021,"Jan-Mar
2021",6092.142857142857,4027.117122448415,2826654.3238674933,1.5127801531232703,1.18769424122674,1.1836173048221985
Brazil,Mato Grosso do Sul,BR-MS,2021,"Apr-Jun
2021",8092.714285714286,4501.017079047631,2826654.3238674933,1.7979745785427281,1.2941820280423346,1.2853795401296426
Brazil,Mato Grosso do Sul,BR-MS,2021,"Jul-Sep
2021",5819.714285714285,4581.721140879978,2826654.3238674933,1.2702026393069692,1.3249955350034108,1.3142057313537443
Brazil,Mato Grosso do Sul,BR-MS,2021,"Oct-Dec
2021",4039,3864.948643721201,2826654.3238674933,1.0450332908204496,1.2938365206043596,1.2837643824521154
Brazil,Minas Gerais,BR-MG,2020,"Jan-Mar
2020",34225.42857142857,33386.78673428173,21448427.704091277,1.0251189742763032,1.0151373488123643,1.0150111912910773
Brazil,Minas Gerais,BR-MG,2020,"Apr-Jun
2020",34680.42857142857,34654.569153145305,21448427.704091277,1.00074620515895,1.0156406091998826,1.015368234239349
Brazil,Minas Gerais,BR-MG,2020,"Jul-Sep
2020",41784.857142857145,37770.923108134666,21448427.704091277,1.1062704775107284,1.0337573645904592,1.032257930216982
Brazil,Minas Gerais,BR-MG,2020,"Oct-Dec
2020",40238,34524.13076780579,21448427.704091277,1.165503637749005,1.06548200773065,1.0642070648744102
Brazil,Minas Gerais,BR-MG,2021,"Jan-Mar
2021",50121.71428571429,33928.87430117673,21546810.16713995,1.4772583917992221,1.1190313528889433,1.118882979732266
Brazil,Minas Gerais,BR-MG,2021,"Apr-Jun
2021",56320.71428571429,37250.68443458142,21546810.16713995,1.51193770371181,1.2066351683646703,1.2059012457069256
Brazil,Minas Gerais,BR-MG,2021,"Jul-Sep
2021",43754.857142857145,38716.18551555831,21546810.16713995,1.1301438031717772,1.2106775874394666,1.2095521752024592
Brazil,Minas Gerais,BR-MG,2021,"Oct-Dec
2021",30718.714285714286,30520.044382843313,21546810.16713995,1.0065094893172126,1.1880407582520676,1.1858857852410665
Brazil,Para,BR-PA,2020,"Jan-Mar
2020",10568,10308.90459347824,8626532.777705215,1.0251331656212699,1.0174582000064263,1.017084785380827
Brazil,Para,BR-PA,2020,"Apr-Jun
2020",18596.714285714286,10757.029039093002,8626532.777705215,1.7287965123204967,1.3072240413787226,1.295534091946066
