Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Brazil,Pará,2020-08-30,NA,4399,2020_Q2,BR-PA
Brazil,Pará,2020-12-31,NA,909,2020_Q3,BR-PA
Brazil,Pará,2021-04-30,NA,4349,2021_Q1,BR-PA
Brazil,Paraíba,2020-04-30,NA,70,2020_Q1,BR-PB
Brazil,Paraíba,2020-08-30,NA,2156,2020_Q2,BR-PB
Brazil,Paraíba,2020-12-31,NA,959,2020_Q3,BR-PB
Brazil,Paraíba,2021-04-30,NA,3150,2021_Q1,BR-PB
Brazil,Paraná,2020-04-30,NA,203,2020_Q1,BR-PR
Brazil,Paraná,2020-08-30,NA,4274,2020_Q2,BR-PR
Brazil,Paraná,2020-12-31,NA,5755,2020_Q3,BR-PR
Brazil,Paraná,2021-04-30,NA,14818,2021_Q1,BR-PR
Brazil,Pernambuco,2020-04-30,NA,422,2020_Q1,BR-PE
Brazil,Pernambuco,2020-08-30,NA,5010,2020_Q2,BR-PE
Brazil,Pernambuco,2020-12-31,NA,2374,2020_Q3,BR-PE
Brazil,Pernambuco,2021-04-30,NA,5872,2021_Q1,BR-PE
Brazil,Piauí,2020-04-30,NA,22,2020_Q1,BR-PI
Brazil,Piauí,2020-08-30,NA,1095,2020_Q2,BR-PI
Brazil,Piauí,2020-12-31,NA,667,2020_Q3,BR-PI
Brazil,Piauí,2021-04-30,NA,1647,2021_Q1,BR-PI
Brazil,Rio de Janeiro,2020-04-30,NA,3028,2020_Q1,BR-RJ
Brazil,Rio de Janeiro,2020-08-30,NA,14026,2020_Q2,BR-RJ
Brazil,Rio de Janeiro,2020-12-31,NA,11470,2020_Q3,BR-RJ
Brazil,Rio de Janeiro,2021-04-30,NA,19398,2021_Q1,BR-RJ
Brazil,Rio Grande do Norte,2020-04-30,NA,43,2020_Q1,BR-RN
Brazil,Rio Grande do Norte,2020-08-30,NA,1738,2020_Q2,BR-RN
Brazil,Rio Grande do Norte,2020-12-31,NA,588,2020_Q3,BR-RN
Brazil,Rio Grande do Norte,2021-04-30,NA,2559,2021_Q1,BR-RN
