"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"88","Acre","AC",2021-08-22,98,86.4776553110008,16926.9590597884,11.5223446889992,1.1332407157382
"89","Acre","AC",2021-08-29,80,86.5628532874025,16931.212363624,-6.56285328740255,0.924183953761173
"90","Acre","AC",2021-09-05,69,86.5320184940619,16935.4660755942,-17.5320184940619,0.79739270157826
"91","Acre","AC",2021-09-12,68,86.3896692748647,16939.7202558541,-18.3896692748647,0.787131153189688
"92","Acre","AC",2021-09-19,70,86.1407375545761,16943.9749645585,-16.1407375545761,0.81262364343758
"93","Acre","AC",2021-09-26,46,85.7935274155231,16948.2302618624,-39.7935274155231,0.53617098382269
"94","Acre","AC",2021-10-03,7,85.4015085564699,16952.4862079208,-78.4015085564699,0.081965765222653
"95","Acre","AC",2021-10-10,12,85.0517969661507,16956.7428628887,-73.0517969661507,0.141090493417509
"96","Acre","AC",2021-10-17,2,84.8310335814819,16961.000286921,-82.8310335814819,0.0235762776375813
"97","Alagoas","AL",2020-01-05,96,328.465402169931,65638.3142664848,-232.465402169931,0.292268224798709
"98","Alagoas","AL",2020-01-05,282,328.450446219072,65638.3142664848,-46.4504462190724,0.858577003764853
"99","Alagoas","AL",2020-01-12,389,332.945023247961,65643.411730789,56.0549767520393,1.16836105914787
"100","Alagoas","AL",2020-01-19,367,342.709114342752,65648.5013393923,24.2908856572476,1.07087901850475
"101","Alagoas","AL",2020-01-26,388,355.484083188748,65653.5830296146,32.5159168112521,1.09146940284802
"102","Alagoas","AL",2020-02-02,404,368.762683006282,65658.6567387762,35.2373169937184,1.09555553915177
"103","Alagoas","AL",2020-02-09,377,379.661881541177,65663.722404197,-2.66188154117697,0.992988810121334
"104","Alagoas","AL",2020-02-16,408,385.403431942213,65668.7799631972,22.5965680577873,1.05863094665222
"105","Alagoas","AL",2020-02-23,388,386.194769744996,65673.8293530969,1.80523025500395,1.00467440368547
"106","Alagoas","AL",2020-03-01,458,383.77645164441,65678.8705112161,74.22354835559,1.19340308150111
