"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"116","Antioquia",2020-07-12,"2020-W28-7",704.439339875112,687.594538157936,128463.292290193,1.02449816102714,1.02449816102714
"117","Antioquia",2020-07-19,"2020-W29-7",861.584518599562,684.108690120313,128504.636863466,1.25942636169121,1.25942636169121
"118","Antioquia",2020-07-26,"2020-W30-7",960.09767502273,680.973216468296,128545.76913219,1.40989050935372,1.40989050935372
"119","Antioquia",2020-08-02,"2020-W31-7",1084.95843156719,678.154983677487,128586.693739507,1.59986796186868,1.59986796186868
"120","Antioquia",2020-08-09,"2020-W32-7",1065.77408300546,675.62180254192,128627.415328559,1.57747141817456,1.57747141817456
"121","Antioquia",2020-08-16,"2020-W33-7",1014.51543694401,673.361631235393,128667.938542486,1.50664277541729,1.50664277541729
"122","Antioquia",2020-08-23,"2020-W34-7",980.417039731393,671.505394948088,128708.268024429,1.46002853753273,1.46002853753273
"123","Antioquia",2020-08-30,"2020-W35-7",937.2984108299,670.246889785493,128748.408417531,1.39843753863576,1.39843753863576
"124","Antioquia",2020-09-06,"2020-W36-7",853.624181513629,669.780032564576,128788.364364933,1.27448436801724,1.27448436801724
"125","Antioquia",2020-09-13,"2020-W37-7",884.421416234888,670.300586323829,128828.140509775,1.31944001583733,1.31944001583733
"126","Antioquia",2020-09-20,"2020-W38-7",834.460957583548,671.988540571309,128867.741495199,1.24177855306001,1.24177855306001
"127","Antioquia",2020-09-27,"2020-W39-7",825.609367376809,674.727167879389,128907.171964347,1.22361957051712,1.22361957051712
"128","Antioquia",2020-10-04,"2020-W40-7",856.258580473176,678.167813378858,128946.436560359,1.26260574975832,1.26260574975832
"129","Antioquia",2020-10-11,"2020-W41-7",896.055862292952,681.951526407822,128985.539926378,1.31395829116026,1.31395829116026
"130","Antioquia",2020-10-18,"2020-W42-7",876.529269081501,685.712241473677,129024.486705544,1.27827566151909,1.27827566151909
"131","Antioquia",2020-10-25,"2020-W43-7",925.150095602294,689.088478830425,129063.281540998,1.34257083672699,1.34257083672699
"132","Antioquia",2020-11-01,"2020-W44-7",945.334978611385,692.202382039167,129101.929075883,1.36569159994294,1.36569159994294
"133","Antioquia",2020-11-08,"2020-W45-7",958.339362894189,695.818936737552,129140.433953339,1.37728266980991,1.37728266980991
"134","Antioquia",2020-11-15,"2020-W46-7",858.191753926702,700.763067406322,129178.800816508,1.22465322994697,1.22465322994697
"135","Antioquia",2020-11-22,"2020-W47-7",965.791566071141,707.888285506908,129217.034308531,1.36432765712397,1.36432765712397
"136","Antioquia",2020-11-29,"2020-W48-7",895.561938382542,718.093219825597,129255.139072549,1.24713883052683,1.24713883052683
"137","Antioquia",2020-12-06,"2020-W49-7",848.772984327032,731.382121006214,129293.119751703,1.16050551407972,1.16050551407972
"138","Antioquia",2020-12-13,"2020-W50-7",909.41628959276,745.569017935025,129330.980989136,1.21976137381826,1.21976137381826
"139","Antioquia",2020-12-20,"2020-W51-7",850.425041186161,757.999820815276,129368.727427988,1.12193303722879,1.12193303722879
"140","Antioquia",2020-12-27,"2020-W52-7",932.558638962488,765.853723452496,129406.3637114,1.21767200498612,1.21767200498612
"141","Antioquia",2021-01-03,"2020-W53-7",1044.00307929176,766.259312853035,129443.894482515,1.36246706797546,1.36246706797546
"142","Antioquia",2021-01-10,"2021-W01-7",1033.14345035863,766.714052120489,129481.324384473,1.34749512872665,1.34749512872665
"143","Antioquia",2021-01-17,"2021-W02-7",1075.57312299846,757.963446798407,129518.658060415,1.41903033390543,1.41903033390543
"144","Antioquia",2021-01-24,"2021-W03-7",1052.84294493028,742.638853029002,129555.900153483,1.41770517477781,1.41770517477781
"145","Antioquia",2021-01-31,"2021-W04-7",998.585219097449,724.311259704034,129593.055306818,1.37866863964739,1.37866863964739
"146","Antioquia",2021-02-07,"2021-W05-7",906.656156370381,706.308725084103,129630.128163562,1.28365419280701,1.28365419280701
"147","Antioquia",2021-02-14,"2021-W06-7",850.2845373891,691.654600802,129667.123366855,1.22934848752999,1.22934848752999
"148","Antioquia",2021-02-21,"2021-W07-7",733.084380305603,682.754867417884,129704.04555984,1.07371534834758,1.07371534834758
"149","Antioquia",2021-02-28,"2021-W08-7",778.489733429395,679.114220669037,129740.899385657,1.14633107323604,1.14633107323604
"150","Antioquia",2021-03-07,"2021-W09-7",734.666485900217,679.083305639747,129777.689487448,1.08185031173474,1.08185031173474
